,State,Unemployment,employment
0,AL,7.1,92.9
1,AK,6.8,93.2
2,AZ,8.1,91.9
3,AR,7.2,92.8
4,CA,10.1,89.9
5,CO,7.7,92.3
6,CT,8.4,91.6
7,DE,7.1,92.9
8,FL,8.2,91.8
9,GA,8.8,91.2
10,HI,5.4,94.6
11,ID,6.6,93.4
12,IL,8.8,91.2
13,IN,8.4,91.6
14,IA,5.1,94.9
15,KS,5.6,94.4
16,KY,8.1,91.9
17,LA,5.9,94.1
18,ME,7.2,92.8
19,MD,6.8,93.2
20,MA,6.7,93.3
21,MI,9.1,90.9
22,MN,5.6,94.4
23,MS,9.1,90.9
24,MO,6.7,93.3
25,MT,5.8,94.2
26,NE,3.9,96.1
27,NV,10.3,89.7
28,NH,5.7,94.3
29,NJ,9.6,90.4
30,NM,6.8,93.2
31,NY,8.4,91.6
32,NC,9.4,90.6
33,ND,3.2,96.8
34,OH,6.9,93.1
35,OK,5.2,94.8
36,OR,8.5,91.5
37,PA,8.0,92.0
38,RI,10.1,89.9
39,SC,8.8,91.2
40,SD,4.4,95.6
41,TN,7.8,92.2
42,TX,6.4,93.6
43,UT,5.5,94.5
44,VT,5.0,95.0
45,VA,5.8,94.2
46,WA,7.8,92.2
47,WV,7.5,92.5
48,WI,6.8,93.2
49,WY,5.1,94.9
